fullStreetName,CoordList
CHARMANY DR,"[(-89.47798008337939, 43.05931675048643), (-89.47701938634434, 43.05949640211139), (-89.47699430044896, 43.05950010185265), (-89.47696912586744, 43.05950346229121), (-89.47693806684684, 43.05950713067389), (-89.47690690302609, 43.05951028423823), (-89.47687565036371, 43.05951292297633), (-89.47684432358734, 43.0595150432809), (-89.47681294111145, 43.05951664604302), (-89.47678151643782, 43.05951772945605), (-89.47675006675247, 43.05951829351182), (-89.47671860678639, 43.05951833820324), (-89.47668715495145, 43.05951786172134), (-89.47665572475361, 43.05951686676003), (-89.47662433337725, 43.059515351510925), (-89.47659299678321, 43.05951331866679), (-89.47656172970248, 43.05951076822073), (-89.47653054932263, 43.059507701964755), (-89.47649947160299, 43.05950412079154), (-89.47646851250354, 43.059500026493765), (-89.47643768553088, 43.05949542266561), (-89.47640700909928, 43.05949031019853), (-89.47637649671445, 43.059484691786544), (-89.47634616556476, 43.059478570121996), (-89.47631603038494, 43.05947194969857), (-89.47628610590748, 43.059464832309736), (-89.47625640686712, 43.05945722244911), (-89.47622695045291, 43.059449123709236), (-89.47619775017117, 43.059440539684395), (-89.47616882075742, 43.059431475768356), (-89.4761401781739, 43.05942193645441), (-89.47611183469937, 43.0594119253374), (-89.47608380752503, 43.059401448710126), (-89.47605610893119, 43.059390511967734), (-89.47602875365249, 43.05937911960404), (-89.47600175519817, 43.05936727881376), (-89.47597451060848, 43.05935470184683), (-89.4759476694829, 43.05934166833067), (-89.47592124532979, 43.05932818455999), (-89.47589525165762, 43.05931425682949), (-89.4758697032039, 43.05929989323349), (-89.47584461347844, 43.05928510186686), (-89.47581999598964, 43.05926988902434), (-89.47579586302209, 43.0592542655017), (-89.47577222808324, 43.05923823669362), (-89.4757491034577, 43.0592218133959), (-89.4757265026543, 43.059205002803346), (-89.47570459764476, 43.05918794345204), (-89.47568323120926, 43.05917052200266), (-89.47566241440137, 43.05915274565112), (-89.47564215827808, 43.05913462519384), (-89.47562247266622, 43.05911616872751), (-89.47560336985006, 43.05909738704791), (-89.47558485720306, 43.05907829005308), (-89.47556694455272, 43.05905888673968), (-89.47554964418323, 43.05903918790363), (-89.47553296224034, 43.0590192034435), (-89.47551690855386, 43.05899894505627), (-89.47550149172368, 43.058978421739276), (-89.47548672035278, 43.05895764609023), (-89.47547260058607, 43.0589366271076), (-89.47545914102574, 43.05891537648899), (-89.47544634781875, 43.058893905933054), (-89.47543422833816, 43.05887222533788), (-89.47542278996013, 43.05885034820174), (-89.47541203637506, 43.0588282844243), (-89.47540197495752, 43.05880604570362), (-89.47539261062683, 43.058783643739055), (-89.47538394707577, 43.05876109113049), (-89.47537599045047, 43.05873839867651), (-89.47536874444276, 43.05871557807689), (-89.47536221274605, 43.058692642831616), (-89.4753563990507, 43.05866960284026), (-89.47535130582331, 43.058646472503476), (-89.47534693552667, 43.058623261721365), (-89.47534329185407, 43.058599983993865), (-89.4753403748148, 43.05857665102245), (-89.47533818810149, 43.05855327540687), (-89.47533685423103, 43.05853243229118), (-89.47533610095275, 43.058511572703964), (-89.47533592704717, 43.05849070654699), (-89.47533633374817, 43.05846984192065), (-89.47533732106288, 43.05844898782595), (-89.47533888654279, 43.058428152365025), (-89.47534103265085, 43.058407345437764), (-89.47534375571011, 43.05838657424674)]"
CHARTER ST,"[(-89.40570695853155, 43.0687110770573), (-89.40571189148805, 43.06959823580908)]"
CHARTER ST,"[(-89.40569313200717, 43.067724837085514), (-89.40570695853155, 43.0687110770573)]"
CHARTER ST,"[(-89.40571189148805, 43.06959823580908), (-89.40572052505436, 43.0710297223884)]"
COMMERCE DR,"[(-89.52277031722404, 43.05589432407951), (-89.52277331555469, 43.05528726470798), (-89.5227745462247, 43.055274224689164), (-89.52277646801224, 43.055261229968345), (-89.52277907972174, 43.05524830034883), (-89.52278237647548, 43.055235455637245), (-89.5227863521653, 43.05522271384099), (-89.52279100314387, 43.055210096565744), (-89.52279632207411, 43.05519762091993), (-89.52280229916867, 43.05518530671429), (-89.52280892586757, 43.055173173758696), (-89.52281619237745, 43.055161238263494), (-89.52282408768365, 43.05514952004059), (-89.52283260076696, 43.0551380362016), (-89.52284171692747, 43.05512680476136)]"
COMMERCE DR,"[(-89.52281898945981, 43.05664229005628), (-89.52282759105361, 43.05662400494267), (-89.52283557498586, 43.056605570053826), (-89.52284293513877, 43.05658699709662), (-89.52284966907271, 43.056568295074385), (-89.52285577067452, 43.056549478394324), (-89.5228612375045, 43.05653055605966), (-89.5228660646741, 43.05651154067635), (-89.52287025097549, 43.05649244394687), (-89.52287379397204, 43.05647327667472), (-89.52287668877517, 43.056454051465735), (-89.52287893663204, 43.05643478002024), (-89.52288053510746, 43.05641547404184), (-89.52288148299232, 43.05639614433287), (-89.52288178030778, 43.05637680349477), (-89.52288573972126, 43.05589343769538)]"
COMMERCE DR,"[(-89.52288573972126, 43.05589343769538), (-89.5228943075273, 43.05529120158845), (-89.5228939271227, 43.055277009049895), (-89.52289280538297, 43.0552628369659), (-89.5228909448004, 43.05524870783695), (-89.52288834663385, 43.05523464056414), (-89.52288501582876, 43.05522065674552), (-89.52288095610041, 43.05520677618025), (-89.52287617484907, 43.055193020464166), (-89.52287067824487, 43.0551794093941), (-89.52286447491252, 43.055165962764725), (-89.52285757347545, 43.05515269947062), (-89.52284998378869, 43.05513964110542), (-89.52284171692747, 43.05512680476136)]"
COMMERCE DR,"[(-89.52281898945981, 43.05664229005628), (-89.52281027556732, 43.05662417318474), (-89.52280225859577, 43.05660588467972), (-89.52279494593142, 43.05658743803645), (-89.52278834127966, 43.05656884765355), (-89.5227824508036, 43.05655012972756), (-89.52277727943299, 43.0565312968558), (-89.52277283087759, 43.05651236613709), (-89.5227691088397, 43.05649335016973), (-89.52276611580145, 43.05647426605361), (-89.5227638542392, 43.05645512728826), (-89.52276232540628, 43.05643595007445), (-89.52276153300627, 43.05641674791062), (-89.5227614746116, 43.05639753790087), (-89.5227621514711, 43.05637833354568), (-89.52277031722404, 43.05589432407951)]"
COMMERCIAL AVE,"[(-89.36211508717778, 43.10681819070569), (-89.36113471123218, 43.10682500680002)]"
COMMERCIAL AVE,"[(-89.34910340516679, 43.10681529758522), (-89.34746759975576, 43.10680489567451)]"
COMMERCIAL AVE,"[(-89.35015930781451, 43.10681819738628), (-89.34910340516679, 43.10681529758522)]"
COMMERCIAL AVE,"[(-89.35124516919471, 43.1068230736371), (-89.35124306238619, 43.10682307233121), (-89.35015930781451, 43.10681819738628)]"
COMMERCIAL AVE,"[(-89.3524875896234, 43.10682563807953), (-89.35124516919471, 43.1068230736371)]"
COMMERCIAL AVE,"[(-89.36389732352224, 43.106822638920164), (-89.3628443848419, 43.10681563237628)]"
COMMERCIAL AVE,"[(-89.3628443848419, 43.10681563237628), (-89.36211508717778, 43.10681819070569)]"
COMMERCIAL AVE,"[(-89.36113471123218, 43.10682500680002), (-89.35781087799305, 43.106837586071)]"
COMMERCIAL AVE,"[(-89.35781087799305, 43.106837586071), (-89.35537072998913, 43.106834989480625)]"
COMMERCIAL AVE,"[(-89.34640795895832, 43.10679922688109), (-89.3462951585043, 43.106797866804314), (-89.34587181692396, 43.1067954421903), (-89.34542857715826, 43.106797630070254), (-89.3453567270278, 43.10679955397704)]"
COMMERCIAL AVE,"[(-89.3453567270278, 43.10679955397704), (-89.34526545553457, 43.10680198054418), (-89.34500195629782, 43.106797600601325), (-89.344613262636, 43.10678027827723), (-89.34424234135614, 43.106777451107725), (-89.34414288725907, 43.10677489996873)]"
COMMERCIAL AVE,"[(-89.34746759975576, 43.10680489567451), (-89.34735058983613, 43.106804133354345), (-89.34728599728892, 43.1068062333351), (-89.34689097205329, 43.10680245836699), (-89.34656123785038, 43.106801042945825), (-89.34640795895832, 43.10679922688109)]"
COMMERCIAL AVE,"[(-89.3546407690088, 43.106832493478535), (-89.3524875896234, 43.10682563807953)]"
COMMERCIAL AVE,"[(-89.35537072998913, 43.106834989480625), (-89.35481198178417, 43.10683497515386)]"
COMMERCIAL AVE,"[(-89.35481198178417, 43.10683497515386), (-89.3546407690088, 43.106832493478535)]"
COTTAGE GROVE RD,"[(-89.29930492023963, 43.08434092181697), (-89.29579005224305, 43.084402598469616)]"
COTTAGE GROVE RD,"[(-89.30298875094812, 43.08427705770968), (-89.300899319242, 43.084313295676274), (-89.29930492023963, 43.08434092181697)]"
COTTAGE GROVE RD,"[(-89.30298527613691, 43.08415774739546), (-89.2993046748023, 43.08421980204736)]"
COTTAGE GROVE RD,"[(-89.2993046748023, 43.08421980204736), (-89.29578845501784, 43.08427994431966)]"
COTTAGE GROVE RD,"[(-89.29401354718767, 43.084421522875246), (-89.29320071045213, 43.08443177894952), (-89.28975610615912, 43.08447247614589)]"
COTTAGE GROVE RD,"[(-89.29579005224305, 43.084402598469616), (-89.29401354718767, 43.084421522875246)]"
COTTAGE GROVE RD,"[(-89.29578845501784, 43.08427994431966), (-89.29401345862163, 43.08430319627666)]"
